Possession_Status,new_or_resale,furnishing,bathrooms,price,location,date_of_posting,facing,overlooking,area,BHK,config,flat_floor_no.,total_floors,no_of_parking,parking_type,longitude,latitude
received,Resale,Semi-Furnished,2.0,0.7,Sector 7-Mira Road,"Feb 05, '21",East,main road,560.0,2,apartment,2,4,0,Open,,
not received,New Property,Semi-Furnished,3.0,1.14,Vinay Nagar,"Feb 04, '21",East,other,980.0,3,apartment,20,23,0,Open,,
received,Resale,Furnished,3.0,8.5,JVPD Scheme,"Feb 05, '21",East,main road,1700.0,4,apartment,2,6,1,both,,
not received,New Property,Unfurnished,2.0,0.73,Vinay Nagar,"Feb 04, '21",North - East,other,650.0,2,apartment,12,22,0,Open,,
not received,New Property,Unfurnished,2.0,1.45,Crompton Greaves,"Feb 06, '21",None,other,650.0,2,other,4,6,1,Covered,,
received,New Property,Semi-Furnished,3.0,7.99,Nana Chowk,"Feb 04, '21",West,main road,1100.0,3,apartment,11,21,0,Open,,
received,Resale,Semi-Furnished,5.0,11.5,Mahalaxmi Race Course,"Feb 06, '21",East,other,2210.0,3,apartment,24,41,3,Covered,,
received,Resale,Semi-Furnished,2.0,1.19,Crompton Greaves,"Feb 04, '21",West,other,600.0,2,apartment,8,22,1,Covered,,
received,Resale,Unfurnished,2.0,1.68,MHADA Colony Near Yadav Nagar,"Feb 04, '21",East,other,690.0,2,apartment,12,18,1,Covered,,
not received,New Property,Unfurnished,2.0,0.86,Yeshwant Nagar,"Feb 05, '21",North - East,other,390.0,1,apartment,20,34,0,Open,,
not received,New Property,Semi-Furnished,2.0,0.6,Ramdev Park,"Feb 05, '21",North - East,other,440.0,1,apartment,9,16,1,Covered,78.40604619375797,17.48551535
not received,Resale,Unfurnished,2.0,0.71,Devi Pada,"Feb 05, '21",None,main road,368.0,1,apartment,9,22,0,Open,,
not received,New Property,Unfurnished,2.0,0.54,Vinay Nagar,"Feb 05, '21",North,other,405.0,1,apartment,3,14,1,Open,,
not received,New Property,Semi-Furnished,2.0,4.0,Mahalaxmi Race Course,"Feb 05, '21",West,other,800.0,2,apartment,30,63,1,Covered,,
